,ADS_Index
1967:06:21,-0.189106
1967:06:22,-0.192959
1967:06:23,-0.197823
1967:06:24,-0.203699
1967:06:25,-0.21059
1967:06:26,-0.218646
1967:06:27,-0.22787
1967:06:28,-0.238264
1967:06:29,-0.249831
1967:06:30,-0.262576
1967:07:01,-0.276501
1967:07:02,-0.288545
1967:07:03,-0.296938
1967:07:04,-0.301682
1967:07:05,-0.30278
1967:07:06,-0.30023
1967:07:07,-0.294032
1967:07:08,-0.284186
1967:07:09,-0.270686
1967:07:10,-0.254822
1967:07:11,-0.236589
1967:07:12,-0.215981
1967:07:13,-0.192992
1967:07:14,-0.167614
1967:07:15,-0.139841
1967:07:16,-0.109663
1967:07:17,-0.0771333
1967:07:18,-0.0422424
1967:07:19,-0.00497929
1967:07:20,0.0346673
1967:07:21,0.0767096
1967:07:22,0.12116
1967:07:23,0.168033
1967:07:24,0.216036
1967:07:25,0.265184
1967:07:26,0.315492
1967:07:27,0.366975
1967:07:28,0.419649
1967:07:29,0.473531
1967:07:30,0.528636
1967:07:31,0.586913
1967:08:01,0.648382
1967:08:02,0.706399
1967:08:03,0.760981
1967:08:04,0.812146
1967:08:05,0.859909
1967:08:06,0.904285
1967:08:07,0.943951
1967:08:08,0.978919
1967:08:09,1.0092
1967:08:10,1.03481
1967:08:11,1.05574
1967:08:12,1.07201
1967:08:13,1.08362
1967:08:14,1.092
1967:08:15,1.09715
1967:08:16,1.09906
1967:08:17,1.09775
1967:08:18,1.0932
1967:08:19,1.08542
1967:08:20,1.07441
1967:08:21,1.05949
1967:08:22,1.04067
1967:08:23,1.01794
1967:08:24,0.99128
1967:08:25,0.960697
1967:08:26,0.926176
1967:08:27,0.887707
1967:08:28,0.845556
1967:08:29,0.799711
1967:08:30,0.750157
1967:08:31,0.696879
1967:09:01,0.639861
1967:09:02,0.585203
1967:09:03,0.532889
1967:09:04,0.483224
1967:09:05,0.436193
1967:09:06,0.391783
1967:09:07,0.349979
1967:09:08,0.310768
1967:09:09,0.27414
1967:09:10,0.240081
1967:09:11,0.207495
1967:09:12,0.17637
1967:09:13,0.146697
1967:09:14,0.118467
1967:09:15,0.0916709
1967:09:16,0.0663013
1967:09:17,0.0423502
1967:09:18,0.0197746
1967:09:19,-0.00143247
1967:09:20,-0.0212774
1967:09:21,-0.0397662
1967:09:22,-0.0569047
1967:09:23,-0.0726979
1967:09:24,-0.0871508
1967:09:25,-0.100026
1967:09:26,-0.111327
1967:09:27,-0.121059
1967:09:28,-0.129222
1967:09:29,-0.135821
1967:09:30,-0.140857
1967:10:01,-0.144332
1967:10:02,-0.144314
1967:10:03,-0.140803
1967:10:04,-0.133797
1967:10:05,-0.123296
1967:10:06,-0.109295
1967:10:07,-0.0917907
1967:10:08,-0.0707772
1967:10:09,-0.048526
1967:10:10,-0.0250303
1967:10:11,-0.000282894
1967:10:12,0.0257237
1967:10:13,0.0529974
1967:10:14,0.0815467
1967:10:15,0.11138
1967:10:16,0.144383
1967:10:17,0.180566
1967:10:18,0.219939
1967:10:19,0.262515
1967:10:20,0.308306
1967:10:21,0.357327
1967:10:22,0.409593
1967:10:23,0.463707
1967:10:24,0.519687
1967:10:25,0.577549
1967:10:26,0.637311
1967:10:27,0.698992
1967:10:28,0.762609
1967:10:29,0.828184
1967:10:30,0.89716
1967:10:31,0.969558
1967:11:01,1.0454
1967:11:02,1.11842
1967:11:03,1.18863
1967:11:04,1.25607
1967:11:05,1.32074
1967:11:06,1.38171
1967:11:07,1.43901
1967:11:08,1.49265
1967:11:09,1.54264
1967:11:10,1.589
1967:11:11,1.63175
1967:11:12,1.6709
1967:11:13,1.70612
1967:11:14,1.73742
1967:11:15,1.76482
1967:11:16,1.78833
1967:11:17,1.80794
1967:11:18,1.82367
1967:11:19,1.83553
1967:11:20,1.8439
1967:11:21,1.84879
1967:11:22,1.8502
1967:11:23,1.84813
1967:11:24,1.84258
1967:11:25,1.83356
1967:11:26,1.82105
1967:11:27,1.80557
1967:11:28,1.78712
1967:11:29,1.76569
1967:11:30,1.74127
1967:12:01,1.71386
1967:12:02,1.68554
1967:12:03,1.65629
1967:12:04,1.627
1967:12:05,1.59766
1967:12:06,1.56824
1967:12:07,1.53875
1967:12:08,1.50918
1967:12:09,1.47951
1967:12:10,1.44974
1967:12:11,1.41798
1967:12:12,1.38422
1967:12:13,1.34845
1967:12:14,1.31067
1967:12:15,1.27085
1967:12:16,1.22899
1967:12:17,1.18508
1967:12:18,1.14047
1967:12:19,1.09515
1967:12:20,1.04912
1967:12:21,1.00234
1967:12:22,0.954814
1967:12:23,0.906522
1967:12:24,0.857451
1967:12:25,0.806756
1967:12:26,0.75442
1967:12:27,0.700427
1967:12:28,0.644762
1967:12:29,0.587408
1967:12:30,0.528346
1967:12:31,0.467559
1968:01:01,0.405379
1968:01:02,0.347005
1968:01:03,0.292421
1968:01:04,0.24161
1968:01:05,0.194557
1968:01:06,0.151246
1968:01:07,0.111665
1968:01:08,0.0755066
1968:01:09,0.042759
1968:01:10,0.0134126
1968:01:11,-0.0125417
1968:01:12,-0.0351117
1968:01:13,-0.0543044
1968:01:14,-0.0701256
1968:01:15,-0.0826388
1968:01:16,-0.0918477
1968:01:17,-0.0977553
1968:01:18,-0.100363
1968:01:19,-0.0996725
1968:01:20,-0.0956826
1968:01:21,-0.0883926
1968:01:22,-0.0787818
1968:01:23,-0.0668474
1968:01:24,-0.0525857
1968:01:25,-0.0359923
1968:01:26,-0.0170623
1968:01:27,0.00421029
1968:01:28,0.0278319
1968:01:29,0.0568937
1968:01:30,0.0914046
1968:01:31,0.131375
1968:02:01,0.176818
1968:02:02,0.222246
1968:02:03,0.267675
1968:02:04,0.313116
1968:02:05,0.355098
1968:02:06,0.393632
1968:02:07,0.428731
1968:02:08,0.460404
1968:02:09,0.488663
1968:02:10,0.513514
1968:02:11,0.534967
1968:02:12,0.553897
1968:02:13,0.570311
1968:02:14,0.584212
1968:02:15,0.595607
1968:02:16,0.604497
1968:02:17,0.610886
1968:02:18,0.614776
1968:02:19,0.616646
1968:02:20,0.616496
1968:02:21,0.614327
1968:02:22,0.610137
1968:02:23,0.603926
1968:02:24,0.595692
1968:02:25,0.585431
1968:02:26,0.573129
1968:02:27,0.55878
1968:02:28,0.542382
1968:02:29,0.523928
1968:03:01,0.503414
1968:03:02,0.483612
1968:03:03,0.464518
1968:03:04,0.446867
1968:03:05,0.430655
1968:03:06,0.415877
1968:03:07,0.402527
1968:03:08,0.390603
1968:03:09,0.3801
1968:03:10,0.371015
1968:03:11,0.3621
1968:03:12,0.353353
1968:03:13,0.344772
1968:03:14,0.336352
1968:03:15,0.328092
1968:03:16,0.31999
1968:03:17,0.312042
1968:03:18,0.305298
1968:03:19,0.299755
1968:03:20,0.295411
1968:03:21,0.292265
1968:03:22,0.290316
1968:03:23,0.289563
1968:03:24,0.290007
1968:03:25,0.290854
1968:03:26,0.292103
1968:03:27,0.293757
1968:03:28,0.295814
1968:03:29,0.298276
1968:03:30,0.301143
1968:03:31,0.304417
1968:04:01,0.308404
1968:04:02,0.312446
1968:04:03,0.316547
1968:04:04,0.320706
1968:04:05,0.324925
1968:04:06,0.329206
1968:04:07,0.33355
1968:04:08,0.337107
1968:04:09,0.33988
1968:04:10,0.341869
1968:04:11,0.343075
1968:04:12,0.343499
1968:04:13,0.343139
1968:04:14,0.341997
1968:04:15,0.341479
1968:04:16,0.341585
1968:04:17,0.342315
1968:04:18,0.343669
1968:04:19,0.345648
1968:04:20,0.348253
1968:04:21,0.351484
1968:04:22,0.357872
1968:04:23,0.36742
1968:04:24,0.380131
1968:04:25,0.396009
1968:04:26,0.415057
1968:04:27,0.437283
1968:04:28,0.462693
1968:04:29,0.486474
1968:04:30,0.508634
1968:05:01,0.52918
1968:05:02,0.547684
1968:05:03,0.564154
1968:05:04,0.578594
1968:05:05,0.591008
1968:05:06,0.602566
1968:05:07,0.613271
1968:05:08,0.623126
1968:05:09,0.632135
1968:05:10,0.6403
1968:05:11,0.647624
1968:05:12,0.654108
1968:05:13,0.660638
1968:05:14,0.667215
1968:05:15,0.673842
1968:05:16,0.68052
1968:05:17,0.687252
1968:05:18,0.694039
1968:05:19,0.700883
1968:05:20,0.707352
1968:05:21,0.713446
1968:05:22,0.719168
1968:05:23,0.72452
1968:05:24,0.729503
1968:05:25,0.734118
1968:05:26,0.738367
1968:05:27,0.742697
1968:05:28,0.747109
1968:05:29,0.751604
1968:05:30,0.756185
1968:05:31,0.760851
1968:06:01,0.765606
1968:06:02,0.769896
1968:06:03,0.773196
1968:06:04,0.775507
1968:06:05,0.776828
1968:06:06,0.777161
1968:06:07,0.776506
1968:06:08,0.774862
1968:06:09,0.772229
1968:06:10,0.768999
1968:06:11,0.765169
1968:06:12,0.760739
1968:06:13,0.755708
1968:06:14,0.750074
1968:06:15,0.743836
1968:06:16,0.73699
1968:06:17,0.729219
1968:06:18,0.72052
1968:06:19,0.71089
1968:06:20,0.700326
1968:06:21,0.688824
1968:06:22,0.676383
1968:06:23,0.662997
1968:06:24,0.649092
1968:06:25,0.634665
1968:06:26,0.619711
1968:06:27,0.604226
1968:06:28,0.588204
1968:06:29,0.571641
1968:06:30,0.554531
1968:07:01,0.537536
1968:07:02,0.521455
1968:07:03,0.506284
1968:07:04,0.492017
1968:07:05,0.478651
1968:07:06,0.466182
1968:07:07,0.454606
1968:07:08,0.441782
1968:07:09,0.427708
1968:07:10,0.412379
1968:07:11,0.39579
1968:07:12,0.377936
1968:07:13,0.358812
1968:07:14,0.338412
1968:07:15,0.31766
1968:07:16,0.296552
1968:07:17,0.275079
1968:07:18,0.253237
1968:07:19,0.231017
1968:07:20,0.208413
1968:07:21,0.185419
1968:07:22,0.16339
1968:07:23,0.142318
1968:07:24,0.122198
1968:07:25,0.103023
1968:07:26,0.0847871
1968:07:27,0.0674855
1968:07:28,0.0511125
1968:07:29,0.0346061
1968:07:30,0.0179613
1968:07:31,0.0011729
1968:08:01,-0.0157641
1968:08:02,-0.0313014
1968:08:03,-0.0454435
1968:08:04,-0.0581948
1968:08:05,-0.0690754
1968:08:06,-0.0780885
1968:08:07,-0.085237
1968:08:08,-0.0905229
1968:08:09,-0.093948
1968:08:10,-0.0955132
1968:08:11,-0.095219
1968:08:12,-0.0947534
1968:08:13,-0.0941161
1968:08:14,-0.0933071
1968:08:15,-0.092326
1968:08:16,-0.0911726
1968:08:17,-0.0898464
1968:08:18,-0.0883472
1968:08:19,-0.085497
1968:08:20,-0.081295
1968:08:21,-0.0757399
1968:08:22,-0.06883
1968:08:23,-0.0605632
1968:08:24,-0.050937
1968:08:25,-0.0399484
1968:08:26,-0.0278523
1968:08:27,-0.0146449
1968:08:28,-0.000322331
1968:08:29,0.0151199
1968:08:30,0.0316865
1968:08:31,0.0493824
1968:09:01,0.0682132
1968:09:02,0.0865946
1968:09:03,0.104532
1968:09:04,0.122032
1968:09:05,0.139098
1968:09:06,0.155737
1968:09:07,0.171953
1968:09:08,0.187751
1968:09:09,0.203376
1968:09:10,0.218832
1968:09:11,0.234124
1968:09:12,0.249257
1968:09:13,0.264235
1968:09:14,0.279063
1968:09:15,0.293745
1968:09:16,0.307859
1968:09:17,0.321408
1968:09:18,0.334396
1968:09:19,0.346828
1968:09:20,0.358708
1968:09:21,0.370038
1968:09:22,0.380824
1968:09:23,0.39116
1968:09:24,0.401051
1968:09:25,0.4105
1968:09:26,0.419509
1968:09:27,0.428082
1968:09:28,0.436221
1968:09:29,0.443928
1968:09:30,0.45112
1968:10:01,0.4578
1968:10:02,0.464692
1968:10:03,0.471799
1968:10:04,0.479122
1968:10:05,0.486664
1968:10:06,0.494427
1968:10:07,0.502639
1968:10:08,0.511303
1968:10:09,0.520421
1968:10:10,0.529996
1968:10:11,0.540031
1968:10:12,0.550529
1968:10:13,0.561494
1968:10:14,0.573118
1968:10:15,0.585406
1968:10:16,0.598361
1968:10:17,0.611987
1968:10:18,0.626289
1968:10:19,0.64127
1968:10:20,0.656935
1968:10:21,0.672682
1968:10:22,0.688515
1968:10:23,0.70444
1968:10:24,0.72046
1968:10:25,0.736581
1968:10:26,0.752808
1968:10:27,0.769146
1968:10:28,0.78596
1968:10:29,0.803256
1968:10:30,0.821039
1968:10:31,0.839315
1968:11:01,0.858089
1968:11:02,0.874942
1968:11:03,0.889881
1968:11:04,0.903054
1968:11:05,0.914466
1968:11:06,0.92412
1968:11:07,0.932019
1968:11:08,0.938166
1968:11:09,0.942563
1968:11:10,0.94521
1968:11:11,0.946428
1968:11:12,0.946217
1968:11:13,0.944576
1968:11:14,0.941507
1968:11:15,0.937006
1968:11:16,0.931074
1968:11:17,0.923708
1968:11:18,0.914822
1968:11:19,0.904414
1968:11:20,0.892479
1968:11:21,0.879015
1968:11:22,0.864018
1968:11:23,0.847482
1968:11:24,0.829403
1968:11:25,0.807795
1968:11:26,0.782652
1968:11:27,0.753966
1968:11:28,0.721729
1968:11:29,0.68593
1968:11:30,0.646558
1968:12:01,0.603602
1968:12:02,0.56307
1968:12:03,0.524949
1968:12:04,0.489228
1968:12:05,0.455895
1968:12:06,0.424941
1968:12:07,0.396356
1968:12:08,0.370131
1968:12:09,0.345418
1968:12:10,0.32221
1968:12:11,0.3005
1968:12:12,0.28028
1968:12:13,0.261546
1968:12:14,0.24429
1968:12:15,0.228508
1968:12:16,0.213742
1968:12:17,0.199988
1968:12:18,0.187241
1968:12:19,0.175498
1968:12:20,0.164755
1968:12:21,0.155008
1968:12:22,0.146255
1968:12:23,0.140006
1968:12:24,0.13626
1968:12:25,0.135015
1968:12:26,0.13627
1968:12:27,0.140027
1968:12:28,0.146287
1968:12:29,0.155051
1968:12:30,0.1635
1968:12:31,0.171637
1969:01:01,0.179466
1969:01:02,0.186194
1969:01:03,0.191825
1969:01:04,0.19636
1969:01:05,0.1998
1969:01:06,0.203631
1969:01:07,0.207852
1969:01:08,0.212467
1969:01:09,0.217475
1969:01:10,0.222879
1969:01:11,0.22868
1969:01:12,0.23488
1969:01:13,0.241487
1969:01:14,0.248504
1969:01:15,0.255933
1969:01:16,0.263775
1969:01:17,0.272035
1969:01:18,0.280713
1969:01:19,0.289812
1969:01:20,0.299345
1969:01:21,0.309315
1969:01:22,0.319724
1969:01:23,0.330576
1969:01:24,0.341874
1969:01:25,0.353622
1969:01:26,0.365822
1969:01:27,0.378895
1969:01:28,0.392845
1969:01:29,0.407675
1969:01:30,0.42339
1969:01:31,0.439995
1969:02:01,0.457496
1969:02:02,0.474867
1969:02:03,0.491426
1969:02:04,0.507176
1969:02:05,0.522122
1969:02:06,0.53627
1969:02:07,0.549623
1969:02:08,0.562186
1969:02:09,0.573962
1969:02:10,0.585002
1969:02:11,0.59531
1969:02:12,0.604888
1969:02:13,0.61374
1969:02:14,0.621867
1969:02:15,0.629274
1969:02:16,0.635961
1969:02:17,0.642155
1969:02:18,0.647856
1969:02:19,0.653068
1969:02:20,0.657791
1969:02:21,0.662028
1969:02:22,0.665778
1969:02:23,0.669044
1969:02:24,0.672233
1969:02:25,0.675346
1969:02:26,0.678383
1969:02:27,0.681347
1969:02:28,0.684237
1969:03:01,0.687055
1969:03:02,0.689437
1969:03:03,0.690547
1969:03:04,0.690385
1969:03:05,0.688951
1969:03:06,0.686244
1969:03:07,0.682263
1969:03:08,0.677007
1969:03:09,0.670476
1969:03:10,0.663005
1969:03:11,0.654594
1969:03:12,0.645239
1969:03:13,0.634938
1969:03:14,0.623687
1969:03:15,0.611483
1969:03:16,0.598323
1969:03:17,0.583918
1969:03:18,0.568266
1969:03:19,0.55136
1969:03:20,0.533196
1969:03:21,0.513768
1969:03:22,0.49307
1969:03:23,0.471096
1969:03:24,0.448259
1969:03:25,0.424549
1969:03:26,0.399962
1969:03:27,0.374489
1969:03:28,0.348122
1969:03:29,0.320853
1969:03:30,0.292675
1969:03:31,0.263422
1969:04:01,0.233085
1969:04:02,0.203788
1969:04:03,0.17552
1969:04:04,0.148273
1969:04:05,0.122039
1969:04:06,0.0968091
1969:04:07,0.0729569
1969:04:08,0.0504747
1969:04:09,0.0293557
1969:04:10,0.00959355
1969:04:11,-0.00881792
1969:04:12,-0.0258843
1969:04:13,-0.0416107
1969:04:14,-0.0564984
1969:04:15,-0.0705519
1969:04:16,-0.0837754
1969:04:17,-0.0961731
1969:04:18,-0.107749
1969:04:19,-0.118506
1969:04:20,-0.128447
1969:04:21,-0.137903
1969:04:22,-0.146877
1969:04:23,-0.15537
1969:04:24,-0.163386
1969:04:25,-0.170927
1969:04:26,-0.177995
1969:04:27,-0.184593
1969:04:28,-0.190293
1969:04:29,-0.195097
1969:04:30,-0.199007
1969:05:01,-0.202023
1969:05:02,-0.204155
1969:05:03,-0.205405
1969:05:04,-0.205772
1969:05:05,-0.204987
1969:05:06,-0.203052
1969:05:07,-0.199964
1969:05:08,-0.195723
1969:05:09,-0.190328
1969:05:10,-0.183777
1969:05:11,-0.176069
1969:05:12,-0.167633
1969:05:13,-0.158469
1969:05:14,-0.148572
1969:05:15,-0.137941
1969:05:16,-0.126572
1969:05:17,-0.11446
1969:05:18,-0.101604
1969:05:19,-0.0877681
1969:05:20,-0.0729487
1969:05:21,-0.0571411
1969:05:22,-0.0403407
1969:05:23,-0.0225422
1969:05:24,-0.00374016
1969:05:25,0.0160711
1969:05:26,0.0371853
1969:05:27,0.059609
1969:05:28,0.0833489
1969:05:29,0.108412
1969:05:30,0.134807
1969:05:31,0.162541
1969:06:01,0.191623
1969:06:02,0.219158
1969:06:03,0.245157
1969:06:04,0.269626
1969:06:05,0.292573
1969:06:06,0.314004
1969:06:07,0.333928
1969:06:08,0.352349
1969:06:09,0.368623
1969:06:10,0.382755
1969:06:11,0.39475
1969:06:12,0.404611
1969:06:13,0.412342
1969:06:14,0.417943
1969:06:15,0.421418
1969:06:16,0.42361
1969:06:17,0.424518
1969:06:18,0.424142
1969:06:19,0.422484
1969:06:20,0.419543
1969:06:21,0.415316
1969:06:22,0.409804
1969:06:23,0.403147
1969:06:24,0.395341
1969:06:25,0.386386
1969:06:26,0.376278
1969:06:27,0.365014
1969:06:28,0.352591
1969:06:29,0.339005
1969:06:30,0.324795
1969:07:01,0.309957
1969:07:02,0.297342
1969:07:03,0.286948
1969:07:04,0.27877
1969:07:05,0.272806
1969:07:06,0.269054
1969:07:07,0.265704
1969:07:08,0.262753
1969:07:09,0.260202
1969:07:10,0.25805
1969:07:11,0.256295
1969:07:12,0.254938
1969:07:13,0.253978
1969:07:14,0.253974
1969:07:15,0.254925
1969:07:16,0.256834
1969:07:17,0.259699
1969:07:18,0.263521
1969:07:19,0.268303
1969:07:20,0.274045
1969:07:21,0.2803
1969:07:22,0.287071
1969:07:23,0.294359
1969:07:24,0.302166
1969:07:25,0.310495
1969:07:26,0.319349
1969:07:27,0.328729
1969:07:28,0.339437
1969:07:29,0.351474
1969:07:30,0.364844
1969:07:31,0.379553
1969:08:01,0.395603
1969:08:02,0.410128
1969:08:03,0.423133
1969:08:04,0.43477
1969:08:05,0.445045
1969:08:06,0.453959
1969:08:07,0.461517
1969:08:08,0.467719
1969:08:09,0.472569
1969:08:10,0.476067
1969:08:11,0.477733
1969:08:12,0.477569
1969:08:13,0.475573
1969:08:14,0.471747
1969:08:15,0.466087
1969:08:16,0.458593
1969:08:17,0.449262
1969:08:18,0.438258
1969:08:19,0.425576
1969:08:20,0.411214
1969:08:21,0.395166
1969:08:22,0.377428
1969:08:23,0.357995
1969:08:24,0.33686
1969:08:25,0.313819
1969:08:26,0.288865
1969:08:27,0.261991
1969:08:28,0.233188
1969:08:29,0.202448
1969:08:30,0.169761
1969:08:31,0.135117
1969:09:01,0.0980685
1969:09:02,0.0625735
1969:09:03,0.0286209
1969:09:04,-0.00379977
1969:09:05,-0.0346984
1969:09:06,-0.0640843
1969:09:07,-0.0919667
1969:09:08,-0.116602
1969:09:09,-0.137996
1969:09:10,-0.156158
1969:09:11,-0.171091
1969:09:12,-0.182802
1969:09:13,-0.191292
1969:09:14,-0.196566
1969:09:15,-0.200431
1969:09:16,-0.202889
1969:09:17,-0.20394
1969:09:18,-0.203586
1969:09:19,-0.201825
1969:09:20,-0.198658
1969:09:21,-0.194083
1969:09:22,-0.187576
1969:09:23,-0.179134
1969:09:24,-0.168756
1969:09:25,-0.156437
1969:09:26,-0.142174
1969:09:27,-0.125963
1969:09:28,-0.107798
1969:09:29,-0.0875731
1969:09:30,-0.0652811
1969:10:01,-0.0409153
1969:10:02,-0.0193854
1969:10:03,-0.000684899
1969:10:04,0.0151919
1969:10:05,0.0282499
1969:10:06,0.0388181
1969:10:07,0.0468997
1969:10:08,0.0524971
1969:10:09,0.0556121
1969:10:10,0.0562455
1969:10:11,0.0543977
1969:10:12,0.0500681
1969:10:13,0.042902
1969:10:14,0.0328975
1969:10:15,0.0200513
1969:10:16,0.00435955
1969:10:17,-0.0141825
1969:10:18,-0.0355805
1969:10:19,-0.059841
1969:10:20,-0.08668
1969:10:21,-0.116106
1969:10:22,-0.148127
1969:10:23,-0.182753
1969:10:24,-0.219996
1969:10:25,-0.259866
1969:10:26,-0.302375
1969:10:27,-0.348149
1969:10:28,-0.397201
1969:10:29,-0.449547
1969:10:30,-0.505203
1969:10:31,-0.564184
1969:11:01,-0.626511
1969:11:02,-0.685992
1969:11:03,-0.741806
1969:11:04,-0.793972
1969:11:05,-0.842503
1969:11:06,-0.887416
1969:11:07,-0.928723
1969:11:08,-0.966438
1969:11:09,-1.00057
1969:11:10,-1.03236
1969:11:11,-1.06181
1969:11:12,-1.08893
1969:11:13,-1.11373
1969:11:14,-1.13622
1969:11:15,-1.1564
1969:11:16,-1.17428
1969:11:17,-1.18838
1969:11:18,-1.1987
1969:11:19,-1.20524
1969:11:20,-1.208
1969:11:21,-1.20699
1969:11:22,-1.2022
1969:11:23,-1.19364
1969:11:24,-1.18284
1969:11:25,-1.16979
1969:11:26,-1.15448
1969:11:27,-1.13693
1969:11:28,-1.11711
1969:11:29,-1.09502
1969:11:30,-1.07066
1969:12:01,-1.04335
1969:12:02,-1.01888
1969:12:03,-0.997222
1969:12:04,-0.978384
1969:12:05,-0.962358
1969:12:06,-0.949139
1969:12:07,-0.938722
1969:12:08,-0.930199
1969:12:09,-0.923566
1969:12:10,-0.918821
1969:12:11,-0.915964
1969:12:12,-0.914993
1969:12:13,-0.915908
1969:12:14,-0.91871
1969:12:15,-0.923822
1969:12:16,-0.931248
1969:12:17,-0.940989
1969:12:18,-0.953047
1969:12:19,-0.967427
1969:12:20,-0.984134
1969:12:21,-1.00317
1969:12:22,-1.0254
1969:12:23,-1.05083
1969:12:24,-1.07947
1969:12:25,-1.11132
1969:12:26,-1.1464
1969:12:27,-1.18471
1969:12:28,-1.22627
1969:12:29,-1.27042
1969:12:30,-1.31718
1969:12:31,-1.36655
1970:01:01,-1.41856
1970:01:02,-1.46707
1970:01:03,-1.5121
1970:01:04,-1.55367
1970:01:05,-1.59158
1970:01:06,-1.62585
1970:01:07,-1.65649
1970:01:08,-1.6835
1970:01:09,-1.70691
1970:01:10,-1.7267
1970:01:11,-1.7429
1970:01:12,-1.75487
1970:01:13,-1.76262
1970:01:14,-1.76615
1970:01:15,-1.76547
1970:01:16,-1.76056
1970:01:17,-1.75143
1970:01:18,-1.73809
1970:01:19,-1.72217
1970:01:20,-1.70368
1970:01:21,-1.68261
1970:01:22,-1.65895
1970:01:23,-1.63271
1970:01:24,-1.60386
1970:01:25,-1.5724
1970:01:26,-1.53853
1970:01:27,-1.50225
1970:01:28,-1.46354
1970:01:29,-1.42239
1970:01:30,-1.37878
1970:01:31,-1.33272
1970:02:01,-1.28417
1970:02:02,-1.23696
1970:02:03,-1.19109
1970:02:04,-1.14654
1970:02:05,-1.10328
1970:02:06,-1.06132
1970:02:07,-1.02063
1970:02:08,-0.98121
1970:02:09,-0.943342
1970:02:10,-0.907016
1970:02:11,-0.872221
1970:02:12,-0.838947
1970:02:13,-0.807184
1970:02:14,-0.776921
1970:02:15,-0.74815
1970:02:16,-0.720959
1970:02:17,-0.695341
1970:02:18,-0.671286
1970:02:19,-0.648788
1970:02:20,-0.62784
1970:02:21,-0.608436
1970:02:22,-0.590569
1970:02:23,-0.575781
1970:02:24,-0.564066
1970:02:25,-0.555422
1970:02:26,-0.549845
1970:02:27,-0.547334
1970:02:28,-0.547888
1970:03:01,-0.551508
1970:03:02,-0.555325
1970:03:03,-0.559341
1970:03:04,-0.563557
1970:03:05,-0.567975
1970:03:06,-0.572596
1970:03:07,-0.577421
1970:03:08,-0.582451
1970:03:09,-0.58816
1970:03:10,-0.594548
1970:03:11,-0.601618
1970:03:12,-0.609372
1970:03:13,-0.617813
1970:03:14,-0.626942
1970:03:15,-0.636763
1970:03:16,-0.647993
1970:03:17,-0.660635
1970:03:18,-0.674693
1970:03:19,-0.690172
1970:03:20,-0.707075
1970:03:21,-0.725409
1970:03:22,-0.745179
1970:03:23,-0.765564
1970:03:24,-0.786573
1970:03:25,-0.80821
1970:03:26,-0.830483
1970:03:27,-0.853399
1970:03:28,-0.876963
1970:03:29,-0.901185
1970:03:30,-0.926747
1970:03:31,-0.953659
1970:04:01,-0.981928
1970:04:02,-1.00932
1970:04:03,-1.03586
1970:04:04,-1.06153
1970:04:05,-1.08636
1970:04:06,-1.1088
1970:04:07,-1.12886
1970:04:08,-1.14655
1970:04:09,-1.16188
1970:04:10,-1.17484
1970:04:11,-1.18544
1970:04:12,-1.19369
1970:04:13,-1.19789
1970:04:14,-1.19805
1970:04:15,-1.19416
1970:04:16,-1.18622
1970:04:17,-1.17423
1970:04:18,-1.15818
1970:04:19,-1.13808
1970:04:20,-1.11802
1970:04:21,-1.09799
1970:04:22,-1.078
1970:04:23,-1.05802
1970:04:24,-1.03806
1970:04:25,-1.01812
1970:04:26,-0.998173
1970:04:27,-0.977796
1970:04:28,-0.95698
1970:04:29,-0.935717
1970:04:30,-0.914
1970:05:01,-0.891825
1970:05:02,-0.870517
1970:05:03,-0.850071
1970:05:04,-0.830528
1970:05:05,-0.811881
1970:05:06,-0.794126
1970:05:07,-0.777257
1970:05:08,-0.761268
1970:05:09,-0.746155
1970:05:10,-0.731914
1970:05:11,-0.718503
1970:05:12,-0.705919
1970:05:13,-0.694159
1970:05:14,-0.683218
1970:05:15,-0.673093
1970:05:16,-0.663781
1970:05:17,-0.65528
1970:05:18,-0.64724
1970:05:19,-0.639659
1970:05:20,-0.632535
1970:05:21,-0.625866
1970:05:22,-0.61965
1970:05:23,-0.613884
1970:05:24,-0.608567
1970:05:25,-0.603163
1970:05:26,-0.597672
1970:05:27,-0.592092
1970:05:28,-0.586421
1970:05:29,-0.580656
1970:05:30,-0.574797
1970:05:31,-0.568842
1970:06:01,-0.563
1970:06:02,-0.5567
1970:06:03,-0.54994
1970:06:04,-0.542718
1970:06:05,-0.535032
1970:06:06,-0.526879
1970:06:07,-0.518257
1970:06:08,-0.50929
1970:06:09,-0.499975
1970:06:10,-0.490311
1970:06:11,-0.480293
1970:06:12,-0.469919
1970:06:13,-0.459185
1970:06:14,-0.448089
1970:06:15,-0.436576
1970:06:16,-0.424642
1970:06:17,-0.412285
1970:06:18,-0.399501
1970:06:19,-0.386285
1970:06:20,-0.372633
1970:06:21,-0.358542
1970:06:22,-0.344131
1970:06:23,-0.329398
1970:06:24,-0.314336
1970:06:25,-0.298942
1970:06:26,-0.283211
1970:06:27,-0.267138
1970:06:28,-0.250717
1970:06:29,-0.234342
1970:06:30,-0.218005
1970:07:01,-0.201703
1970:07:02,-0.187215
1970:07:03,-0.174537
1970:07:04,-0.163664
1970:07:05,-0.154593
1970:07:06,-0.146212
1970:07:07,-0.138517
1970:07:08,-0.131507
1970:07:09,-0.125178
1970:07:10,-0.11953
1970:07:11,-0.114561
1970:07:12,-0.110268
1970:07:13,-0.106857
